super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
2665,Vaughn College Of Aeronautics And Technology,New York,NY,30900,53000,.36477882,.0011981524,.44843543,.017666299,.16357975,.0064442917,-.079987764,-.057506107,207.6666666666667
7273,CUNY Bernard M. Baruch College,New York,NY,42800,57600,.27632242,.0055920202,.46824235,.025568271,.12938586,.0070650866,-.091865495,-.12297224,1083
2688,City College Of New York - CUNY,New York,NY,35500,48500,.32546476,.0023351549,.36021557,.014087214,.11723747,.0045848917,-.0980158,-.13879366,582.3333333333334
7022,CUNY Lehman College,New York,NY,32500,40700,.36707491,0,.27882966,.0018963498,.10235137,.00069610245,-.057339657,-.090723462,468.3333333333333
1140,"California State University, Los Angeles",Los Angeles,CA,36600,43000,.33116928,.0015598091,.29949805,.00083619979,.09918455,.00027692367,-.13313572,-.14919846,1179.666666666667
2693,CUNY John Jay College Of Criminal Justice,New York,NY,41800,45200,.27158952,.00097911153,.35684139,.0030840749,.096914381,.00083760242,-.039944887,-.081856675,1228
2165,MCPHS University,Boston,MA,83300,112700,.10234574,.0077554816,.91293561,.094175987,.093435071,.0096385116,-.015396656,-.05452856,173.5
2791,Pace University,New York,NY,68600,60700,.15173292,.012134688,.55575591,.027615389,.084326468,.0041901637,-.059509847,-.13538049,1353.333333333333
2838,State University Of New York At Stony Brook,New York,NY,73600,60100,.16416624,.0044201165,.51245296,.019444995,.084127478,.0031922117,-.067162491,-.10386624,2070.666666666667
2696,New York City College Of Technology Of The City University Of New,New York,NY,33500,37000,.35256514,.0010819947,.23638399,.0019894305,.083340757,.00070140383,-.070691638,-.091352046,1488.333333333333
21662,ITI Technical College,Baton Rouge,LA,56000,55000,.20257363,.003432984,.40163651,.0014645729,.081360966,.00029668384,-.10871755,-.16802844,92
9651,Texas A&M International University,Laredo,TX,35400,42800,.31893793,.0046419529,.25357273,.000067670109,.080873959,.000021582564,-.061688259,-.068036258,258
2687,CUNY Brooklyn College,New York,NY,52200,44300,.23247004,.0078585008,.34696299,.0071291937,.080658495,.0016573239,-.026277237,-.038919907,1009.666666666667
11031,Technical Career Institutes,New York,NY,29700,31300,.40302402,.00029217871,.19843748,.001431327,.079975069,.00057685917,-.0135367,-.028605595,562
3599,University Of Texas - Pan American,Brownsville,TX,31700,39300,.38702601,.0029801775,.19763009,.006495507,.076487988,.0025139302,-.11182246,-.053661622,1723.666666666667
2689,CUNY Hunter College,New York,NY,49800,44400,.21163614,.005610154,.35636646,.0084728263,.075420022,.0017931563,-.045349263,-.10824341,1489.333333333333
25964,Crimson Technical College,Los Angeles,CA,44700,37600,.25033554,.0055235308,.30048823,.00082289387,.075222887,.00020599959,.026844094,-.10693292,156
7405,Wood Tobe - Coburn School,New York,NY,29500,24500,.41312566,.0011516438,.17706722,.00016651678,.073151015,.000068792353,-.16401064,-.21432161,129
11189,United Talmudical Seminary,New York,NY,21200,15300,.60977477,.0057698591,.11770001,.0064897779,.071770497,.0039573028,-.041445281,.034881175,218
2690,CUNY Queens College,New York,NY,63300,48200,.20142742,.012734835,.35438401,.0078856535,.071382657,.0015883868,-.071461074,-.087966278,1052.666666666667
1203,Glendale Community College,Los Angeles,CA,40100,30500,.32359213,.0031149168,.21885973,.0056746332,.070821285,.0018362666,-.11834276,-.11087843,1437
31034,South Texas College,Brownsville,TX,23900,27500,.52360696,.00071010314,.13195425,.0023679268,.069092162,.0012398629,-.18819629,-.11532767,1881.333333333333
1144,"California State Polytechnic University, Pomona",Los Angeles,CA,80200,55100,.14929721,.0072355648,.45770481,.0020411711,.06833405,.00030474114,-.079657838,-.11070725,2195.333333333333
